IDH: 07, IDL: E8, Len: 08, Data: 24 02 00 7D 81 AB 1C 00 ,TS: 11328,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 4C DC 13 0D 10 74 00 ,TS: 11408,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 34 36 82 AE 7F A0 80 ,TS: 11485,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 27 99 02 4B 00 69 C9 5B ,TS: 11565,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 28 04 02 02 00 00 63 72 ,TS: 11644,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 29 06 24 1B 80 35 40 08 ,TS: 11724,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2A 0A 16 08 9A 80 00 00 ,TS: 11805,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2B 00 62 80 00 FF 00 1D ,TS: 11887,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2C 00 07 45 22 00 00 00 ,TS: 11964,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 2D E2 06 7F 20 7C 2C ,TS: 12044,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 12111,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 65 B1 7F ED 1B 00 00 ,TS: 12124,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 00 2C 02 10 2D 66 ,TS: 12205,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 30 30 83 30 20 0A 00 ,TS: 12284,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 08 A4 00 00 00 00 00 ,TS: 12372,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 00 00 01 88 C0 91 78 ,TS: 12444,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 11 7E 00 00 00 00 00 ,TS: 12525,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 57 E2 01 5D 00 24 02 ,TS: 12558,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 12615,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 86 1D 3D 62 5A 27 45 ,TS: 12622,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 04 42 00 30 83 30 ,TS: 12700,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 5B 09 26 12 15 39 9A ,TS: 12780,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 02 00 7C 81 AB 1C 00 ,TS: 12860,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 4C F6 13 0D 10 74 00 ,TS: 12940,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 34 36 82 AE 7F A0 80 ,TS: 13025,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 27 99 02 4B 00 69 C9 5B ,TS: 13100,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 28 04 02 02 00 00 63 72 ,TS: 13180,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 29 06 20 1B 00 35 00 08 ,TS: 13261,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2A 0A 16 08 92 80 00 00 ,TS: 13340,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2B 00 63 80 00 FF 00 1D ,TS: 13420,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2C 00 07 45 22 00 00 00 ,TS: 13502,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 2D E2 06 7F 20 7D 5C ,TS: 13590,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 13649,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 67 41 7F F5 1B 00 00 ,TS: 13660,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 00 2C 02 11 2D 66 ,TS: 13740,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 30 30 83 30 20 09 00 ,TS: 13820,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 07 A4 00 00 00 00 00 ,TS: 13900,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 00 00 01 90 C0 91 77 ,TS: 13984,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 11 76 00 00 00 00 00 ,TS: 14062,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 57 E2 01 5D 00 24 02 ,TS: 14092,BAUD: 1
IDH: 07, IDL: E0, Len: 08, Data: 30 00 04 00 00 00 00 00 ,TS: 14162,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 21 88 1D 3D 62 5A 27 5E ,TS: 14172,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 22 00 04 43 00 30 83 30 ,TS: 14254,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 23 5B 09 26 12 15 39 AD ,TS: 14337,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 24 02 00 7C 81 AB 1B 00 ,TS: 14412,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 25 4C DC 13 0D 10 74 00 ,TS: 14492,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 26 34 36 82 AE 7F A0 80 ,TS: 14572,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 27 99 02 4B 00 69 C9 5B ,TS: 14654,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 28 04 02 02 00 00 63 72 ,TS: 14733,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 29 06 18 1D 80 35 00 08 ,TS: 14815,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2A 0A 16 08 7D 80 00 00 ,TS: 14892,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2B 00 64 80 00 FF 00 1D ,TS: 14972,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 2C 00 07 45 22 00 00 00 ,TS: 15052,BAUD: 1
IDH: 07, IDL: E8, Len: 08, Data: 10 2D E2 06 7F 20 7D E0 ,TS: 15116,BAUD: 1
