IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 12420,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 12486,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 12655,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 12715,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 12889,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 12965,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 13153,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 13215,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 13357,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 13423,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 13592,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 13655,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 13826,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 13897,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 14064,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 14138,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 14310,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 14371,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 14529,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 14589,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 14763,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 14839,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 14998,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 15060,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 15232,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 15302,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 15466,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 15526,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 15701,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 15778,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 15935,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 16019,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 16170,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 16232,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 16405,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 16466,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 16640,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 16732,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 16873,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 16936,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 17108,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 17170,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 17341,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 17405,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 17576,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 17636,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 17811,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 17870,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 18046,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 18107,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 18279,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 18343,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 18514,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 18578,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 18763,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 18829,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 18983,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 19045,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 19216,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 19278,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 19452,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 19514,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 19685,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 19748,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 19935,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 19997,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 20169,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 20232,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 20389,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 20450,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 20642,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 20699,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 20863,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 20935,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 21091,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 21152,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 21330,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 21405,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 21582,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 21659,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 21802,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 22082,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 22270,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 22344,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 22512,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 22578,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 01 01 00 00 00 ,TS: 22731,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 22793,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 22965,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 23028,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 23216,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 04 30 01 00 01 00 00 00 ,TS: 23277,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 02 70 01 00 00 00 00 00 ,TS: 23513,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 23578,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 02 01 00 00 00 ,TS: 23762,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 23825,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 23981,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 24044,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 24216,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 24278,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 02 01 00 00 00 ,TS: 24465,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 24531,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 24699,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 24766,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 24919,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 04 00 00 00 00 00 ,TS: 24983,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 04 02 01 00 00 00 ,TS: 25168,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 E1 00 00 00 00 00 ,TS: 25232,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 E1 00 04 00 00 00 ,TS: 25402,BAUD: 1
IDH: 07, IDL: 81, Len: 08, Data: 02 21 02 00 00 00 00 00 ,TS: 25475,BAUD: 1
IDH: 07, IDL: 89, Len: 08, Data: 04 61 02 02 01 00 00 00 ,TS: 25623,BAUD: 1
